,10 HK,101 HK,1038 HK,11 HK,12 HK,14 HK,142 HK,16 HK,17 HK,179 HK,19 HK,2 HK,20 HK,23 HK,267 HK,291 HK,293 HK,3 HK,315 HK,363 HK,4 HK,494 HK,5 HK,511 HK,6 HK,8 HK,83 HK,941 HK,97 HK,992 HK,66 HK,762 HK,883 HK,282 HK,2388 HK,330 HK,1199 HK,551 HK,144 HK,2038 HK,388 HK,939 HK,386 HK,3988 HK,1398 HK,2628 HK,2318 HK,3328 HK,1088 HK,688 HK,857 HK,2600 HK,700 HK,836 HK,1109 HK,1880 HK,1898 HK,1044 HK,1299 HK,151 HK,322 HK,1928 HK,135 HK,27 HK,2319 HK,823 HK,1 HK,1113 HK
0.005,-0.09729356004177972,-0.21226298820192577,0.004880416691365491,0.011715965953872254,0.12366139994129437,-0.028282067844313846,-0.16614736220244192,0.08988158024444223,-0.01313388346447382,-0.11356900456236524,0.3425116769669792,0.7111026263231395,-0.01709302001086188,-0.1698975283433322,-0.0524485339614558,0.014747312974668601,0.06096930147161095,0.5590326712522617,0.018718606982306797,0.19178339440985806,-0.2263589196706504,-0.08142588777981594,0.29713817886437605,-0.04091033917559013,-0.3940109485283858,0.030443324706294017,-0.05477276735035473,0.2971851732608433,-0.06666959420385664,-0.01576160150823044,-0.016161789714847462,-0.024936321503305946,0.03619084324585302,0.010037635712260726,-0.18582695193010706,-0.07948955398719232,0.12742663961719508,0.11567714348462066,-0.11522894722450015,0.04605071662352276,-0.043077195386666156,-0.641318017486789,-0.011988592764226556,0.3398751598287057,-0.14652077146057413,-0.2572271340532025,0.4167409761449395,0.26009625550336196,0.1910354739911668,0.05313911452692019,0.12288952934711858,-0.00721944221447058,0.01025737209990437,-0.021101188421959564,0.011032508368433697,-0.026839452749408056,-0.16871412722853896,-0.08909614116774689,-0.3624466205240282,-0.028196852916572653,-0.07013934138366382,0.32208771229387084,-0.05870943156010217,-0.15669343592031604,0.2840181756294308,0.2458948980458308,-0.1129016174063323,0.02764914934793651
0.010,-0.07300663901592097,-0.24059966444159364,0.05219050089566754,-0.11312418470290272,0.14726606672500925,-0.04134975232756438,-0.16662490949310135,0.03900893201921071,-0.05733688450518513,-0.09535282274092644,0.29115998703470297,0.7251735371474213,0.0050425397452059425,-0.1599442360452664,-0.07108329809641138,-0.028833789028929867,0.07012650384475717,0.5253602263616348,0.03679304410398103,0.17301495969855893,-0.18969252553173582,-0.08533629803268829,0.3037990565010961,-0.023462664699789262,-0.36530298309810477,0.0042950882619046706,-0.02367157042977727,0.2554577364378854,-0.07098985644257419,-0.02290068273621307,0.03061609417763244,-0.039570472721289,0.032135390545290285,0.01026080045061403,-0.07677846603245009,-0.07959176278985876,0.055933041570330605,0.13598674201354669,-0.06753988051459871,0.04079101252910624,-0.008486182220000742,-0.4820420248980106,-0.011322534485122614,0.22162787846825904,-0.11883076480132305,-0.27381309020493894,0.3992514274514419,0.1892756716683139,0.06817198778481641,0.07485157217919104,0.14067723327135026,-0.02125210029554081,0.055466009442047784,-0.004875813126310461,0.022599980143928017,-0.06748311476416928,-0.07193413816021954,-0.06839883627717351,-0.3327017037087936,-0.011716186689842176,-0.05487926153929229,0.28510768170777817,-0.050891728414457216,-0.12658046472616566,0.2444301054071654,0.20913036803231833,-0.07692638751702496,0.029226499635100406
0.015,-0.04871971799006217,-0.2689363406812614,0.09950058509996983,-0.23796433535968023,0.170870733508725,-0.054417436810815005,-0.16710245678376084,-0.011863716206021453,-0.1015398855458963,-0.07713664091948765,0.23980829710242685,0.7392444479717036,0.02717809950127372,-0.14999094374720093,-0.08971806223136686,-0.07241489103252854,0.07928370621790314,0.4916877814710078,0.05486748122565539,0.1542465249872592,-0.15302613139282106,-0.08924670828556064,0.310459934137817,-0.006014990223988909,-0.33659501766782374,-0.021853148182484884,0.007429626490800291,0.21373029961492773,-0.07531011868129153,-0.03003976396419558,0.07739397807011203,-0.05420462393927209,0.028079937844727388,0.01048396518896735,0.03227001986520733,-0.0796939715925252,-0.015560556476533552,0.15629634054247263,-0.019850813804697873,0.0355313084346896,0.026104830946664916,-0.32276603230923034,-0.010656476206018695,0.10338059710781203,-0.09114075814207108,-0.29039904635667485,0.38176187875794265,0.11845508783326543,-0.05469149842153398,0.09656402983146203,0.1584649371955815,-0.0352847583766111,0.10067464678419112,0.011349562169338537,0.03416745191942268,-0.10812677677893034,0.024845850908100126,-0.04770153138659995,-0.3029567868935587,0.004764479536889393,-0.03961918169492078,0.24812765112168517,-0.04307402526881224,-0.09646749353201534,0.20484203518490018,0.17236583801880556,-0.040951157627717956,0.030803849922264287
0.020,-0.024432796964203432,-0.2972730169209289,0.14681066930427178,-0.362804486016457,0.19447540029244031,-0.06748512129406557,-0.16758000407442042,-0.06273636443125329,-0.14574288658660722,-0.058920459098048786,0.1884566071701507,0.7533153587959861,0.049313659257341505,-0.14003765144913546,-0.10835282636632233,-0.11599599303612668,0.08844090859104928,0.4580153365803799,0.07294191834732972,0.13547809027595956,-0.11635973725390636,-0.0931571185384329,0.3171208117745375,0.011432684251811459,-0.3078870522375422,-0.048001384626874435,0.038530823411377806,0.17200286279197002,-0.07963038092000901,-0.03717884519217825,0.1241718619625913,-0.06883877515725532,0.0240244851441647,0.010707129927320726,0.1413185057628648,-0.07979618039519151,-0.08705415452339799,0.17660593907139868,0.027838252905202948,0.030271604340273164,0.06069584411333062,-0.16349003972045206,-0.009990417926914654,-0.01486668425263582,-0.06345075148281955,-0.3069850025084115,0.36427233006444304,0.04763450399821714,-0.17755498462788472,0.11827648748373304,0.17625264111981342,-0.04931741645768142,0.1458832841263346,0.027574937464987737,0.04573492369491694,-0.14877043879369165,0.12162583997641985,-0.027004226496026587,-0.2732118700783244,0.021245145763620507,-0.024359101850549257,0.21114762053559233,-0.035256322123167254,-0.066354522337865,0.1652539649626347,0.13560130800529324,-0.004975927738410935,0.0323812002094282
0.025,-0.00014587593834465562,-0.32560969316059685,0.1941207535085742,-0.4876446366732334,0.21808006707615563,-0.08055280577731634,-0.16805755136507988,-0.11360901265648515,-0.18994588762731868,-0.04070427727660991,0.13710491723787474,0.7673862696202687,0.07144921901340956,-0.13008435915107003,-0.12698759050127784,-0.1595770950397253,0.09759811096419549,0.42434289168975237,0.09101635546900386,0.11670965556465998,-0.0796933431149914,-0.09706752879130517,0.32378168941125796,0.028880358727612077,-0.27917908680726145,-0.07414962107126377,0.06963202033195526,0.13027542596901204,-0.08395064315872641,-0.0443179264201609,0.17094974585507106,-0.08347292637523845,0.019969032443601577,0.010930294665673919,0.2503669916605221,-0.0798983891978578,-0.15854775257026238,0.19691553760032474,0.07552731961510367,0.025011900245856505,0.0952868572799962,-0.004214047131672782,-0.00932435964781075,-0.1331139656130816,-0.03576074482356856,-0.32357095866014746,0.34678278137094465,-0.02318607983683088,-0.30041847083423456,0.13998894513600407,0.1940403450440449,-0.06335007453875167,0.19109192146847803,0.0438003127606367,0.05730239547041155,-0.18941410080845292,0.21840582904473937,-0.0063069216054532085,-0.2434669532630896,0.03772581199035148,-0.009099022006177779,0.17416758994949944,-0.02743861897752225,-0.036241551143714634,0.12566589474036932,0.09883677799178037,0.030999302150896385,0.0339585504965921
0.030,0.024141045087514135,-0.35394636940026464,0.2414308377128759,-0.6124847873300105,0.24168473385987083,-0.09362049026056693,-0.16853509865573935,-0.16448166088171667,-0.23414888866802985,-0.02248809545517108,0.08575322730559827,0.7814571804445505,0.09358477876947738,-0.12013106685300429,-0.1456223546362335,-0.2031581970433236,0.1067553133373415,0.39067044679912516,0.10909079259067817,0.09794122085336035,-0.043026948976076784,-0.10097793904417751,0.33044256704797814,0.04632803320341261,-0.25047112137698035,-0.10029785751565343,0.10073321725253265,0.08854798914605427,-0.08827090539744396,-0.05145700764814343,0.21772762974755078,-0.09810707759322161,0.015913579743038475,0.011153459404027257,0.35941547755817926,-0.08000059800052421,-0.2300413506171265,0.21722513612925076,0.1232163863250049,0.01975219615144005,0.12987787044666207,0.15506194545710678,-0.008658301368706777,-0.2513612469735294,-0.00807073816431686,-0.3401569148118839,0.3292932326774456,-0.09400666367187913,-0.42328195704058535,0.16170140278827508,0.21182804896827664,-0.07738273261982183,0.23630055881062154,0.06002568805628584,0.06886986724590599,-0.2300577628232141,0.31518581811305874,0.014390383285120267,-0.21372203644785528,0.05420647821708273,0.006161057838193873,0.13718755936340657,-0.019620915831877285,-0.0061285799495642695,0.08607782451810396,0.06207224797826788,0.06697453204020361,0.03553590078375599
0.035,0.04842796611337291,-0.3822830456399322,0.28874092191717815,-0.7373249379867872,0.26528940064358625,-0.10668817474381756,-0.16901264594639892,-0.21535430910694878,-0.2783518897087411,-0.004271913633732319,0.0344015373733223,0.7955280912688328,0.11572033852554528,-0.11017777455493874,-0.1642571187711889,-0.246739299046922,0.11591251571048766,0.35699800190849784,0.12716522971235245,0.07917278614206079,-0.006360554837161941,-0.10488834929704982,0.3371034446846992,0.06377570767921292,-0.2217631559466989,-0.12644609396004292,0.13183441417311,0.04682055232309623,-0.09259116763616138,-0.05859608887612609,0.2645055136400305,-0.11274122881120467,0.011858127042475769,0.011376624142380574,0.46846396345583674,-0.08010280680319058,-0.3015349486639908,0.23753473465817684,0.17090545303490584,0.014492492057023475,0.16446888361332754,0.31433793804588617,-0.007992243089602847,-0.36960852833397617,0.019619268494934963,-0.35674287096362045,0.31180368398394653,-0.1648272475069273,-0.5461454432469364,0.1834138604405461,0.22961575289250832,-0.09141539070089205,0.28150919615276493,0.07625106335193499,0.08043733902140049,-0.2707014248379754,0.41196580718137854,0.035087688175693646,-0.18397711963262087,0.07068714444381359,0.021421137682565428,0.10020752877731362,-0.011803212686232328,0.02398439124458611,0.04648975429583843,0.0253077179647552,0.1029497619295108,0.03711325107091987
0.040,0.0727148871392315,-0.4106197218796,0.33605100612148,-0.8621650886435636,0.2888940674273015,-0.1197558592270681,-0.16949019323705847,-0.2662269573321803,-0.32255489074945237,0.013944268187706513,-0.01695015255895363,0.8095990020931155,0.13785589828161318,-0.10022448225687336,-0.18289188290614466,-0.29032040105052026,0.1250697180836337,0.32332555701787036,0.14523966683402664,0.060404351430761116,0.030305839301752874,-0.10879875954992216,0.3437643223214199,0.08122338215501335,-0.19305519051641779,-0.1525943304044324,0.16293561109368754,0.0050931155001387035,-0.09691142987487873,-0.0657351701041087,0.31128339753251005,-0.12737538002918786,0.007802674341912841,0.011599788880733907,0.5775124493534941,-0.08020501560585697,-0.37302854671085517,0.2578443331871029,0.21859451974480656,0.009232787962606893,0.19905989677999336,0.47361393063466534,-0.00732618481049891,-0.48785580969442366,0.047309275154186786,-0.37332882711535625,0.29431413529044803,-0.2356478313419756,-0.6690089294532864,0.20512631809281706,0.2474034568167398,-0.10544804878196232,0.32671783349490824,0.09247643864758404,0.09200481079689476,-0.31134508685273654,0.5087457962496984,0.05578499306626705,-0.1542322028173863,0.08716781067054481,0.03668121752693694,0.06322749819122078,-0.00398550954058733,0.054097362438736495,0.006901684073573278,-0.011456812048757148,0.13892499181881798,0.038690601358083776
0.045,0.09700180816509033,-0.4389563981192677,0.38336109032578214,-0.9870052393003405,0.3124987342110171,-0.1328235437103187,-0.16996774052771782,-0.3170996055574123,-0.36675789179016316,0.03216045000914537,-0.0683018424912297,0.8236699129173979,0.1599914580376809,-0.09027118995880776,-0.20152664704109996,-0.33390150305411875,0.13422692045677967,0.2896531121272433,0.1633141039557009,0.04163591671946147,0.0669722334406675,-0.11270916980279448,0.35042519995814025,0.09867105663081405,-0.16434722508613667,-0.1787425668488218,0.19403680801426496,-0.03663432132281903,-0.1012316921135961,-0.07287425133209127,0.35806128142498916,-0.14200953124717108,0.0037472216413499543,0.011822953619087145,0.6865609352511514,-0.08030722440852339,-0.4445221447577195,0.2781539317160288,0.26628358645470734,0.003973083868190388,0.23365090994665888,0.6328899232234442,-0.00666012653139492,-0.6061030910548689,0.07499928181343743,-0.38991478326709283,0.27682458659694875,-0.3064684151770234,-0.7918724156596364,0.22683877574508812,0.2651911607409715,-0.11948070686303247,0.3719264708370517,0.10870181394323297,0.10357228257238932,-0.3519887488674977,0.6055257853180177,0.07648229795684047,-0.124487286002152,0.10364847689727574,0.05194129737130843,0.026247467605128055,0.003832193605057637,0.0842103336328868,-0.03268638614869221,-0.048221342062269856,0.17490022170812522,0.04026795164524767
0.050,0.12128872919094907,-0.46729307435893563,0.43067117453008447,-1.1118453899571175,0.3361034009947322,-0.1458912281935693,-0.1704452878183774,-0.3679722537826441,-0.4109608928308742,0.05037663183058422,-0.11965353242350608,0.8377408237416805,0.18212701779374896,-0.0803178976607424,-0.22016141117605553,-0.37748260505771725,0.14338412282992594,0.2559806672366154,0.18138854107737523,0.02286748200816191,0.10363862757958206,-0.11661958005566672,0.3570860775948608,0.11611873110661435,-0.13563925965585552,-0.20489080329321124,0.22513800493484243,-0.0783617581457771,-0.10555195435231361,-0.0800133325600739,0.40483916531746905,-0.15664368246515395,-0.00030823105921294613,0.01204611835744044,0.7956094211488086,-0.08040943321118978,-0.5160157428045835,0.29846353024495487,0.31397265316460865,-0.0012866202262261772,0.2682419231133246,0.7921659158122234,-0.005994068252290957,-0.7243503724153167,0.10268928847268984,-0.406500739418829,0.2593350379034497,-0.377288999012072,-0.914735901865987,0.2485512333973591,0.2829788646652033,-0.13351336494410276,0.4171351081791953,0.1249271892388821,0.11513975434788395,-0.39263241088225903,0.7023057743863372,0.09717960284741395,-0.09474236918691699,0.12012914312400688,0.06720137721567992,-0.01073256298096481,0.011649896750702621,0.1143233048270372,-0.07227445637095768,-0.08498587207578226,0.21087545159743243,0.04184530193241155
